"Time (s) Run #1";"Angle (rad) Run #1";"Position (m) Run #1";"Magnetic Field Strength (100X) (T) Run #1";"Time (s) Run #3";"Angle (rad) Run #3";"Position (m) Run #3";"Magnetic Field Strength (100X) (T) Run #3";"Time (s) Run #4";"Angle (rad) Run #4";"Position (m) Run #4";"Magnetic Field Strength (100X) (T) Run #4";"Time (s) Run #5";"Angle (rad) Run #5";"Position (m) Run #5";"Magnetic Field Strength (100X) (T) Run #5";"Time (s) Run #6";"Angle (rad) Run #6";"Position (m) Run #6";"Magnetic Field Strength (100X) (T) Run #6";"Time (s) Run #7";"Angle (rad) Run #7";"Position (m) Run #7";"Magnetic Field Strength (100X) (T) Run #7";"Time (s) Run #8";"Angle (rad) Run #8";"Position (m) Run #8";"Magnetic Field Strength (100X) (T) Run #8"
4.100;-0.839;-0.0234;2.0E-5;8.200;-5.257;-0.1464;7.9E-6;8.200;-5.207;-0.1450;7.0E-6;8.200;-5.589;-0.1557;4.0E-6;8.200;-5.286;-0.1472;2.5E-6;8.200;-3.998;-0.1113;8.7E-6;8.200;-5.955;-0.1659;9.6E-7
4.150;-0.877;-0.0244;;8.300;-5.361;-0.1493;7.4E-6;8.300;-5.207;-0.1450;7.0E-6;8.300;-5.661;-0.1577;3.9E-6;8.300;-5.429;-0.1512;2.4E-6;8.300;-4.032;-0.1123;8.6E-6;8.300;-6.013;-0.1675;9.2E-7
4.200;-0.919;-0.0256;1.9E-5;8.400;-5.441;-0.1515;7.1E-6;8.400;-5.209;-0.1451;7.0E-6;8.400;-5.735;-0.1597;3.8E-6;8.400;-5.550;-0.1546;2.3E-6;8.400;-4.062;-0.1131;8.4E-6;8.400;-6.081;-0.1694;9.1E-7
4.250;-0.963;-0.0268;;8.500;-5.520;-0.1537;6.7E-6;8.500;-5.217;-0.1453;6.9E-6;8.500;-5.807;-0.1617;3.7E-6;8.500;-5.655;-0.1575;2.1E-6;8.500;-4.093;-0.1140;8.3E-6;8.500;-6.161;-0.1716;8.4E-7
4.300;-1.008;-0.0281;1.8E-5;8.600;-5.611;-0.1563;6.3E-6;8.600;-5.231;-0.1457;6.9E-6;8.600;-5.887;-0.1640;3.5E-6;8.600;-5.746;-0.1600;2.0E-6;8.600;-4.134;-0.1151;8.0E-6;8.600;-6.253;-0.1742;8.3E-7
4.350;-1.056;-0.0294;;8.700;-5.716;-0.1592;5.9E-6;8.700;-5.243;-0.1460;6.8E-6;8.700;-5.980;-0.1666;3.4E-6;8.700;-5.837;-0.1626;1.9E-6;8.700;-4.181;-0.1165;7.9E-6;8.700;-6.357;-0.1771;8.1E-7
4.400;-1.107;-0.0308;1.7E-5;8.800;-5.831;-0.1624;5.4E-6;8.800;-5.259;-0.1465;6.8E-6;8.800;-6.081;-0.1694;3.2E-6;8.800;-5.939;-0.1654;1.8E-6;8.800;-4.232;-0.1179;7.6E-6;8.800;-6.458;-0.1799;7.5E-7
4.450;-1.162;-0.0324;;8.900;-5.950;-0.1657;5.0E-6;8.900;-5.279;-0.1470;6.7E-6;8.900;-6.184;-0.1722;3.1E-6;8.900;-6.046;-0.1684;1.7E-6;8.900;-4.298;-0.1197;7.4E-6;8.900;-6.539;-0.1821;7.2E-7
4.500;-1.222;-0.0340;1.6E-5;9.000;-6.068;-0.1690;4.6E-6;9.000;-5.303;-0.1477;6.6E-6;9.000;-6.275;-0.1748;2.9E-6;9.000;-6.150;-0.1713;1.7E-6;9.000;-4.387;-0.1222;7.0E-6;9.000;-6.615;-0.1842;7.1E-7
4.550;-1.283;-0.0357;;9.100;-6.187;-0.1723;4.2E-6;9.100;-5.327;-0.1484;6.5E-6;9.100;-6.349;-0.1768;2.8E-6;9.100;-6.233;-0.1736;1.6E-6;9.100;-4.491;-0.1251;6.7E-6;9.100;-6.695;-0.1865;6.7E-7
4.600;-1.343;-0.0374;1.5E-5;9.200;-6.302;-0.1755;3.9E-6;9.200;-5.345;-0.1489;6.4E-6;9.200;-6.409;-0.1785;2.7E-6;9.200;-6.296;-0.1753;1.5E-6;9.200;-4.588;-0.1278;6.4E-6;9.200;-6.775;-0.1887;6.5E-7
4.650;-1.400;-0.0390;;9.300;-6.401;-0.1783;3.7E-6;9.300;-5.378;-0.1498;6.4E-6;9.300;-6.458;-0.1799;2.6E-6;9.300;-6.349;-0.1768;1.5E-6;9.300;-4.665;-0.1299;6.1E-6;9.300;-6.855;-0.1909;6.3E-7
4.700;-1.450;-0.0404;1.5E-5;9.400;-6.495;-0.1809;3.4E-6;9.400;-5.446;-0.1517;6.0E-6;9.400;-6.498;-0.1810;2.6E-6;9.400;-6.401;-0.1783;1.5E-6;9.400;-4.725;-0.1316;5.9E-6;9.400;-6.948;-0.1935;5.9E-7
4.750;-1.492;-0.0416;;9.500;-6.585;-0.1834;3.2E-6;9.500;-5.539;-0.1543;5.7E-6;9.500;-6.541;-0.1822;2.6E-6;9.500;-6.450;-0.1796;1.4E-6;9.500;-4.766;-0.1327;5.8E-6;9.500;-7.047;-0.1963;5.3E-7
4.800;-1.528;-0.0426;1.4E-5;9.600;-6.668;-0.1857;3.0E-6;9.600;-5.642;-0.1572;5.4E-6;9.600;-6.583;-0.1834;2.6E-6;9.600;-6.495;-0.1809;1.4E-6;9.600;-4.783;-0.1332;5.8E-6;9.600;-7.146;-0.1990;5.2E-7
4.850;-1.561;-0.0435;;9.700;-6.747;-0.1879;2.8E-6;9.700;-5.733;-0.1597;5.1E-6;9.700;-6.630;-0.1847;2.5E-6;9.700;-6.550;-0.1824;1.4E-6;9.700;-4.786;-0.1333;5.8E-6;9.700;-7.237;-0.2016;4.8E-7
4.900;-1.591;-0.0443;1.4E-5;9.800;-6.819;-0.1899;2.6E-6;9.800;-5.815;-0.1620;4.9E-6;9.800;-6.684;-0.1862;2.4E-6;9.800;-6.615;-0.1842;1.3E-6;9.800;-4.807;-0.1339;5.6E-6;9.800;-7.317;-0.2038;5.1E-7
4.950;-1.623;-0.0452;;9.900;-6.893;-0.1920;2.5E-6;9.900;-5.894;-0.1642;4.6E-6;9.900;-6.740;-0.1877;2.3E-6;9.900;-6.688;-0.1863;1.2E-6;9.900;-4.846;-0.1350;5.6E-6;9.900;-7.395;-0.2060;4.4E-7
5.000;-1.654;-0.0461;1.3E-5;10.000;-6.970;-0.1941;2.3E-6;10.000;-5.983;-0.1666;4.4E-6;10.000;-6.795;-0.1893;2.3E-6;10.000;-6.775;-0.1887;1.2E-6;10.000;-4.857;-0.1353;5.5E-6;10.000;-7.480;-0.2083;4.3E-7
5.050;-1.681;-0.0468;;10.100;-7.043;-0.1962;2.2E-6;10.100;-6.084;-0.1694;4.1E-6;10.100;-6.844;-0.1906;2.2E-6;10.100;-6.869;-0.1913;1.2E-6;10.100;-4.857;-0.1353;5.5E-6;10.100;-7.595;-0.2115;4.2E-7
5.100;-1.701;-0.0474;1.3E-5;10.200;-7.108;-0.1980;2.1E-6;10.200;-6.197;-0.1726;3.9E-6;10.200;-6.890;-0.1919;2.2E-6;10.200;-6.952;-0.1936;1.1E-6;10.200;-4.868;-0.1356;5.5E-6;10.200;-7.720;-0.2150;3.9E-7
5.150;-1.717;-0.0478;;10.300;-7.168;-0.1996;2.0E-6;10.300;-6.308;-0.1757;3.7E-6;10.300;-6.938;-0.1932;2.2E-6;10.300;-7.014;-0.1953;1.1E-6;10.300;-4.888;-0.1362;5.4E-6;10.300;-7.830;-0.2181;3.7E-7
5.200;-1.726;-0.0481;1.3E-5;10.400;-7.230;-0.2014;1.9E-6;10.400;-6.398;-0.1782;3.5E-6;10.400;-6.995;-0.1948;2.1E-6;10.400;-7.072;-0.1970;1.1E-6;10.400;-4.917;-0.1369;5.4E-6;10.400;-7.922;-0.2206;3.7E-7
5.250;-1.739;-0.0484;;10.500;-7.298;-0.2033;1.8E-6;10.500;-6.464;-0.1800;3.4E-6;10.500;-7.054;-0.1965;2.0E-6;10.500;-7.136;-0.1988;1.0E-6;10.500;-4.951;-0.1379;5.3E-6;10.500;-7.958;-0.2216;3.0E-7
5.300;-1.751;-0.0488;1.2E-5;10.600;-7.359;-0.2050;1.7E-6;10.600;-6.516;-0.1815;3.3E-6;10.600;-7.117;-0.1982;2.0E-6;10.600;-7.194;-0.2004;9.8E-7;10.600;-4.997;-0.1392;5.2E-6;10.600;-7.961;-0.2217;3.6E-7
5.350;-1.769;-0.0493;;10.700;-7.417;-0.2066;1.7E-6;10.700;-6.561;-0.1827;3.2E-6;10.700;-7.180;-0.2000;2.0E-6;10.700;-7.251;-0.2020;9.8E-7;10.700;-5.058;-0.1409;5.0E-6;10.700;-7.964;-0.2218;3.7E-7
5.400;-1.786;-0.0497;1.2E-5;10.800;-7.474;-0.2082;1.5E-6;10.800;-6.610;-0.1841;3.1E-6;10.800;-7.240;-0.2016;1.9E-6;10.800;-7.292;-0.2031;9.8E-7;10.800;-5.130;-0.1429;4.9E-6;10.800;-7.964;-0.2218;4.3E-7
5.450;-1.803;-0.0502;;10.900;-7.524;-0.2096;1.5E-6;10.900;-6.663;-0.1856;3.1E-6;10.900;-7.296;-0.2032;1.8E-6;10.900;-7.303;-0.2034;9.4E-7;10.900;-5.202;-0.1449;4.7E-6;10.900;-7.962;-0.2218;4.2E-7
5.500;-1.821;-0.0507;1.2E-5;11.000;-7.563;-0.2107;1.4E-6;11.000;-6.715;-0.1870;3.0E-6;11.000;-7.351;-0.2048;1.8E-6;11.000;-7.301;-0.2034;9.0E-7;11.000;-5.270;-0.1468;4.6E-6;11.000;-7.959;-0.2217;3.7E-7
5.550;-1.836;-0.0511;;11.100;-7.596;-0.2116;1.4E-6;11.100;-6.762;-0.1883;2.8E-6;11.100;-7.405;-0.2062;1.7E-6;11.100;-7.299;-0.2033;9.2E-7;11.100;-5.323;-0.1483;4.5E-6;11.100;-7.958;-0.2216;3.5E-7
5.600;-1.852;-0.0516;1.2E-5;11.200;-7.628;-0.2124;1.3E-6;11.200;-6.794;-0.1892;2.8E-6;11.200;-7.453;-0.2076;1.7E-6;11.200;-7.296;-0.2032;9.6E-7;11.200;-5.375;-0.1497;4.3E-6;11.200;-7.955;-0.2215;3.3E-7
5.650;-1.866;-0.0520;;11.300;-7.661;-0.2134;1.3E-6;11.300;-6.813;-0.1897;2.8E-6;11.300;-7.502;-0.2090;1.7E-6;11.300;-7.293;-0.2031;9.9E-7;11.300;-5.429;-0.1512;4.2E-6;11.300;-7.950;-0.2214;3.4E-7
5.700;-1.880;-0.0524;1.1E-5;11.400;-7.697;-0.2144;1.3E-6;11.400;-6.838;-0.1904;2.8E-6;11.400;-7.557;-0.2105;1.7E-6;11.400;-7.281;-0.2028;1.0E-6;11.400;-5.477;-0.1526;4.2E-6;11.400;-7.934;-0.2210;3.5E-7
5.750;-1.894;-0.0528;;11.500;-7.730;-0.2153;1.3E-6;11.500;-6.886;-0.1918;2.7E-6;11.500;-7.617;-0.2121;1.6E-6;11.500;-7.238;-0.2016;1.0E-6;11.500;-5.526;-0.1539;4.1E-6;11.500;-7.900;-0.2200;4.1E-7
5.800;-1.910;-0.0532;1.1E-5;11.600;-7.747;-0.2158;1.2E-6;11.600;-6.955;-0.1937;2.5E-6;11.600;-7.680;-0.2139;1.6E-6;11.600;-7.146;-0.1990;1.0E-6;11.600;-5.584;-0.1555;3.9E-6;11.600;-7.840;-0.2184;4.3E-7
5.850;-1.929;-0.0537;;11.700;-7.753;-0.2159;1.2E-6;11.700;-7.034;-0.1959;2.4E-6;11.700;-7.744;-0.2157;1.6E-6;11.700;-7.003;-0.1950;1.1E-6;11.700;-5.649;-0.1573;3.8E-6;11.700;-7.774;-0.2165;3.7E-7
5.900;-1.951;-0.0543;1.1E-5;11.800;-7.753;-0.2159;1.2E-6;11.800;-7.114;-0.1981;2.4E-6;11.800;-7.807;-0.2174;1.5E-6;11.800;-6.849;-0.1908;1.3E-6;11.800;-5.716;-0.1592;3.7E-6;11.800;-7.708;-0.2147;4.1E-7
5.950;-1.974;-0.0550;;11.900;-7.752;-0.2159;1.2E-6;11.900;-7.207;-0.2007;2.3E-6;11.900;-7.870;-0.2192;1.5E-6;11.900;-6.698;-0.1866;1.3E-6;11.900;-5.781;-0.1610;3.6E-6;11.900;-7.629;-0.2125;4.5E-7
6.000;-2.003;-0.0558;1.1E-5;12.000;-7.749;-0.2158;1.3E-6;12.000;-7.301;-0.2033;2.2E-6;12.000;-7.939;-0.2211;1.4E-6;12.000;-6.555;-0.1826;1.4E-6;12.000;-5.840;-0.1627;3.5E-6;12.000;-7.560;-0.2106;4.3E-7
6.050;-2.029;-0.0565;;12.100;-7.749;-0.2158;1.2E-6;12.100;-7.395;-0.2060;2.1E-6;12.100;-8.011;-0.2231;1.4E-6;12.100;-6.450;-0.1796;1.5E-6;12.100;-5.897;-0.1642;3.5E-6;12.100;-7.508;-0.2091;4.4E-7
6.100;-2.058;-0.0573;1.0E-5;12.200;-7.749;-0.2158;1.2E-6;12.200;-7.483;-0.2084;2.0E-6;12.200;-8.075;-0.2249;1.4E-6;12.200;-6.382;-0.1778;1.5E-6;12.200;-5.950;-0.1657;3.4E-6;12.200;-7.457;-0.2077;4.8E-7
6.150;-2.086;-0.0581;;12.300;-7.749;-0.2158;1.2E-6;12.300;-7.549;-0.2103;2.0E-6;12.300;-8.116;-0.2261;1.4E-6;12.300;-6.335;-0.1764;1.5E-6;12.300;-6.000;-0.1671;3.4E-6;12.300;-7.409;-0.2064;4.9E-7
6.200;-2.113;-0.0588;9.9E-6;12.400;-7.749;-0.2158;1.2E-6;12.400;-7.598;-0.2116;1.9E-6;12.400;-8.129;-0.2264;1.4E-6;12.400;-6.293;-0.1753;1.6E-6;12.400;-6.051;-0.1685;3.3E-6;12.400;-7.362;-0.2051;4.7E-7
6.250;-2.144;-0.0597;;12.500;-7.749;-0.2158;1.2E-6;12.500;-7.636;-0.2127;1.8E-6;12.500;-8.130;-0.2265;1.3E-6;12.500;-6.250;-0.1741;1.6E-6;12.500;-6.101;-0.1699;3.2E-6;12.500;-7.292;-0.2031;5.3E-7
6.300;-2.172;-0.0605;9.6E-6;12.600;-7.749;-0.2158;1.2E-6;12.600;-7.664;-0.2135;1.8E-6;12.600;-8.130;-0.2265;1.3E-6;12.600;-6.200;-0.1727;1.7E-6;12.600;-6.153;-0.1714;3.1E-6;12.600;-7.208;-0.2008;5.0E-7
6.350;-2.201;-0.0613;;12.700;-7.749;-0.2158;1.2E-6;12.700;-7.673;-0.2137;1.8E-6;12.700;-8.129;-0.2264;1.3E-6;12.700;-6.147;-0.1712;1.7E-6;12.700;-6.205;-0.1728;3.0E-6;12.700;-7.117;-0.1982;5.4E-7
6.400;-2.229;-0.0621;9.3E-6;12.800;-7.749;-0.2158;1.2E-6;12.800;-7.673;-0.2137;1.8E-6;12.800;-8.129;-0.2264;1.3E-6;12.800;-6.084;-0.1694;1.8E-6;12.800;-6.263;-0.1744;2.9E-6;12.800;-7.025;-0.1956;6.3E-7
6.450;-2.256;-0.0628;;12.900;-7.749;-0.2158;1.2E-6;12.900;-7.673;-0.2137;1.8E-6;12.900;-8.126;-0.2263;1.3E-6;12.900;-6.016;-0.1676;1.8E-6;12.900;-6.327;-0.1762;2.8E-6;12.900;-6.943;-0.1934;6.3E-7
6.500;-2.281;-0.0635;9.0E-6;13.000;-7.749;-0.2158;1.2E-6;13.000;-7.675;-0.2138;1.8E-6;13.000;-8.123;-0.2262;1.3E-6;13.000;-5.944;-0.1656;1.9E-6;13.000;-6.388;-0.1779;2.7E-6;13.000;-6.880;-0.1916;5.9E-7
6.550;-2.306;-0.0642;;13.100;-7.749;-0.2158;1.2E-6;13.100;-7.684;-0.2140;1.8E-6;13.100;-8.121;-0.2262;1.3E-6;13.100;-5.862;-0.1633;2.0E-6;13.100;-6.448;-0.1796;2.6E-6;13.100;-6.828;-0.1902;5.8E-7
6.600;-2.328;-0.0648;8.7E-6;13.200;-7.749;-0.2158;1.2E-6;13.200;-7.714;-0.2149;1.8E-6;13.200;-8.119;-0.2261;1.3E-6;13.200;-5.773;-0.1608;2.1E-6;13.200;-6.511;-0.1813;2.6E-6;13.200;-6.772;-0.1886;6.2E-7
6.650;-2.350;-0.0655;;13.300;-7.749;-0.2158;1.2E-6;13.300;-7.785;-0.2168;1.7E-6;13.300;-8.118;-0.2261;1.2E-6;13.300;-5.672;-0.1580;2.1E-6;13.300;-6.569;-0.1830;2.6E-6;13.300;-6.710;-0.1869;5.9E-7
6.700;-2.372;-0.0661;8.5E-6;13.400;-7.749;-0.2158;1.2E-6;13.400;-7.887;-0.2197;1.7E-6;13.400;-8.116;-0.2261;1.3E-6;13.400;-5.565;-0.1550;2.3E-6;13.400;-6.624;-0.1845;2.5E-6;13.400;-6.640;-0.1849;6.7E-7
6.750;-2.395;-0.0667;;13.500;-7.749;-0.2158;1.2E-6;13.500;-7.992;-0.2226;1.5E-6;13.500;-8.113;-0.2260;1.3E-6;13.500;-5.474;-0.1525;2.4E-6;13.500;-6.679;-0.1860;2.5E-6;13.500;-6.564;-0.1828;7.1E-7
6.800;-2.417;-0.0673;8.3E-6;13.600;-7.749;-0.2158;1.2E-6;13.600;-8.068;-0.2247;1.5E-6;13.600;-8.105;-0.2258;1.3E-6;13.600;-5.388;-0.1501;2.6E-6;13.600;-6.731;-0.1875;2.4E-6;13.600;-6.486;-0.1806;7.7E-7
6.850;-2.439;-0.0679;;13.700;-7.749;-0.2158;1.3E-6;13.700;-8.099;-0.2256;1.5E-6;13.700;-8.083;-0.2251;1.3E-6;13.700;-5.303;-0.1477;2.7E-6;13.700;-6.781;-0.1889;2.4E-6;13.700;-6.395;-0.1781;7.9E-7
6.900;-2.461;-0.0686;8.1E-6;13.800;-7.749;-0.2158;1.2E-6;13.800;-8.108;-0.2258;1.5E-6;13.800;-8.052;-0.2243;1.3E-6;13.800;-5.206;-0.1450;2.8E-6;13.800;-6.825;-0.1901;2.3E-6;13.800;-6.304;-0.1756;7.7E-7
6.950;-2.483;-0.0692;;13.900;-7.749;-0.2158;1.2E-6;13.900;-8.124;-0.2263;1.5E-6;13.900;-8.011;-0.2231;1.4E-6;13.900;-5.100;-0.1421;3.0E-6;13.900;-6.871;-0.1914;2.3E-6;13.900;-6.216;-0.1731;7.9E-7
7.000;-2.507;-0.0698;7.8E-6;14.000;-7.749;-0.2158;1.2E-6;14.000;-8.163;-0.2274;1.4E-6;14.000;-7.958;-0.2216;1.4E-6;14.000;-4.997;-0.1392;3.2E-6;14.000;-6.916;-0.1926;2.3E-6;14.000;-6.134;-0.1708;8.6E-7
7.050;-2.532;-0.0705;;14.100;-7.747;-0.2158;1.2E-6;14.100;-8.212;-0.2287;1.3E-6;14.100;-7.885;-0.2196;1.5E-6;14.100;-4.885;-0.1361;3.4E-6;14.100;-6.954;-0.1937;2.2E-6;14.100;-6.052;-0.1686;8.4E-7
7.100;-2.553;-0.0711;7.7E-6;14.200;-7.747;-0.2158;1.2E-6;14.200;-8.240;-0.2295;1.4E-6;14.200;-7.810;-0.2175;1.5E-6;14.200;-4.761;-0.1326;3.6E-6;14.200;-6.985;-0.1946;2.2E-6;14.200;-5.967;-0.1662;8.3E-7
7.150;-2.570;-0.0716;;14.300;-7.747;-0.2158;1.2E-6;14.300;-8.240;-0.2295;1.4E-6;14.300;-7.739;-0.2156;1.5E-6;14.300;-4.626;-0.1288;4.0E-6;14.300;-7.015;-0.1954;2.2E-6;14.300;-5.879;-0.1638;9.0E-7
7.200;-2.584;-0.0720;7.5E-6;14.400;-7.747;-0.2158;1.2E-6;14.400;-8.240;-0.2295;1.4E-6;14.400;-7.672;-0.2137;1.5E-6;14.400;-4.485;-0.1249;4.3E-6;14.400;-7.045;-0.1962;2.1E-6;14.400;-5.774;-0.1608;1.0E-6
7.250;-2.598;-0.0724;;14.500;-7.747;-0.2158;1.2E-6;14.500;-8.240;-0.2295;1.4E-6;14.500;-7.606;-0.2118;1.6E-6;14.500;-4.340;-0.1209;4.7E-6;14.500;-7.076;-0.1971;2.1E-6;14.500;-5.655;-0.1575;1.0E-6
7.300;-2.615;-0.0728;7.3E-6;14.600;-7.747;-0.2158;1.2E-6;14.600;-8.240;-0.2295;1.4E-6;14.600;-7.537;-0.2099;1.6E-6;14.600;-4.185;-0.1166;5.2E-6;14.600;-7.105;-0.1979;2.0E-6;14.600;-5.517;-0.1536;1.1E-6
7.350;-2.642;-0.0736;;14.700;-7.746;-0.2157;1.2E-6;14.700;-8.237;-0.2294;1.4E-6;14.700;-7.464;-0.2079;1.7E-6;14.700;-4.029;-0.1122;5.7E-6;14.700;-7.122;-0.1984;2.0E-6;14.700;-5.367;-0.1495;1.3E-6
7.400;-2.673;-0.0745;7.0E-6;14.800;-7.746;-0.2157;1.2E-6;14.800;-8.237;-0.2294;1.4E-6;14.800;-7.395;-0.2060;1.8E-6;14.800;-3.885;-0.1082;6.3E-6;14.800;-7.122;-0.1984;2.0E-6;14.800;-5.215;-0.1452;1.4E-6
7.450;-2.708;-0.0754;;14.900;-7.744;-0.2157;1.2E-6;14.900;-8.236;-0.2294;1.4E-6;14.900;-7.339;-0.2044;1.9E-6;14.900;-3.753;-0.1045;6.8E-6;14.900;-7.119;-0.1983;2.0E-6;14.900;-5.074;-0.1413;1.5E-6
7.500;-2.741;-0.0763;6.7E-6;15.000;-7.742;-0.2156;1.1E-6;15.000;-8.236;-0.2294;1.4E-6;15.000;-7.295;-0.2032;1.8E-6;15.000;-3.625;-0.1010;7.4E-6;15.000;-7.119;-0.1983;2.0E-6;15.000;-4.943;-0.1377;1.6E-6
7.550;-2.765;-0.0770;;15.100;-7.736;-0.2155;1.2E-6;15.100;-8.236;-0.2294;1.4E-6;15.100;-7.260;-0.2022;1.8E-6;15.100;-3.493;-0.0973;8.0E-6;15.100;-7.117;-0.1982;2.0E-6;15.100;-4.822;-0.1343;1.7E-6
7.600;-2.772;-0.0772;6.7E-6;15.200;-7.728;-0.2152;1.2E-6;15.200;-8.234;-0.2293;1.4E-6;15.200;-7.232;-0.2014;1.9E-6;15.200;-3.362;-0.0936;8.7E-6;15.200;-7.116;-0.1982;2.1E-6;15.200;-4.711;-0.1312;1.8E-6
7.650;-2.772;-0.0772;;15.300;-7.713;-0.2148;1.2E-6;15.300;-8.234;-0.2293;1.4E-6;15.300;-7.212;-0.2009;1.9E-6;15.300;-3.239;-0.0902;9.3E-6;15.300;-7.116;-0.1982;2.1E-6;15.300;-4.606;-0.1283;1.9E-6
7.700;-2.772;-0.0772;6.7E-6;15.400;-7.689;-0.2142;1.2E-6;15.400;-8.233;-0.2293;1.4E-6;15.400;-7.190;-0.2002;1.9E-6;15.400;-3.126;-0.0871;9.9E-6;15.400;-7.114;-0.1981;2.1E-6;15.400;-4.513;-0.1257;2.0E-6
7.750;-2.772;-0.0772;;15.500;-7.661;-0.2134;1.3E-6;15.500;-8.225;-0.2291;1.5E-6;15.500;-7.157;-0.1993;1.9E-6;15.500;-3.025;-0.0843;1.0E-5;15.500;-7.111;-0.1981;2.1E-6;15.500;-4.430;-0.1234;2.1E-6
7.800;-2.771;-0.0772;6.7E-6;15.600;-7.623;-0.2123;1.3E-6;15.600;-8.217;-0.2289;1.4E-6;15.600;-7.116;-0.1982;2.0E-6;15.600;-2.937;-0.0818;1.1E-5;15.600;-7.105;-0.1979;2.1E-6;15.600;-4.359;-0.1214;2.2E-6
7.850;-2.769;-0.0771;;15.700;-7.576;-0.2110;1.4E-6;15.700;-8.196;-0.2283;1.4E-6;15.700;-7.078;-0.1971;2.0E-6;15.700;-2.856;-0.0795;1.2E-5;15.700;-7.086;-0.1974;2.1E-6;15.700;-4.285;-0.1193;2.3E-6
7.900;-2.769;-0.0771;6.7E-6;15.800;-7.516;-0.2093;1.5E-6;15.800;-8.162;-0.2273;1.4E-6;15.800;-7.043;-0.1962;2.1E-6;15.800;-2.758;-0.0768;1.2E-5;15.800;-7.048;-0.1963;2.1E-6;15.800;-4.196;-0.1169;2.5E-6
7.950;-2.769;-0.0771;;15.900;-7.449;-0.2075;1.6E-6;15.900;-8.123;-0.2262;1.4E-6;15.900;-7.006;-0.1951;2.0E-6;15.900;-2.644;-0.0736;1.3E-5;15.900;-7.001;-0.1950;2.2E-6;15.900;-4.097;-0.1141;2.7E-6
8.000;-2.768;-0.0771;6.7E-6;16.000;-7.381;-0.2056;1.7E-6;16.000;-8.082;-0.2251;1.5E-6;16.000;-6.970;-0.1941;2.1E-6;16.000;-2.513;-0.0700;1.4E-5;16.000;-6.944;-0.1934;2.2E-6;16.000;-3.995;-0.1113;2.9E-6
8.050;-2.768;-0.0771;;16.100;-7.307;-0.2035;1.8E-6;16.100;-8.041;-0.2240;1.5E-6;16.100;-6.923;-0.1928;2.2E-6;16.100;-2.378;-0.0662;1.5E-5;16.100;-6.883;-0.1917;2.2E-6;16.100;-3.902;-0.1087;3.0E-6
8.100;-2.768;-0.0771;6.7E-6;16.200;-7.234;-0.2015;2.0E-6;16.200;-8.003;-0.2229;1.6E-6;16.200;-6.872;-0.1914;2.2E-6;16.200;-2.257;-0.0629;1.5E-5;16.200;-6.824;-0.1901;2.3E-6;16.200;-3.814;-0.1062;3.2E-6
8.150;-2.766;-0.0770;;16.300;-7.155;-0.1993;2.1E-6;16.300;-7.961;-0.2217;1.5E-6;16.300;-6.825;-0.1901;2.3E-6;16.300;-2.141;-0.0596;1.6E-5;16.300;-6.751;-0.1880;2.4E-6;16.300;-3.729;-0.1039;3.4E-6
8.200;-2.765;-0.0770;6.7E-6;16.400;-7.065;-0.1968;2.2E-6;16.400;-7.912;-0.2204;1.6E-6;16.400;-6.778;-0.1888;2.4E-6;16.400;-2.022;-0.0563;1.7E-5;16.400;-6.666;-0.1857;2.5E-6;16.400;-3.638;-0.1013;3.6E-6
8.250;-2.763;-0.0770;;16.500;-6.966;-0.1940;2.4E-6;16.500;-7.848;-0.2186;1.7E-6;16.500;-6.731;-0.1875;2.4E-6;16.500;-1.882;-0.0524;1.7E-5;16.500;-6.577;-0.1832;2.6E-6;16.500;-3.553;-0.0990;3.8E-6
8.300;-2.761;-0.0769;6.8E-6;16.600;-6.866;-0.1912;2.5E-6;16.600;-7.763;-0.2162;1.7E-6;16.600;-6.679;-0.1860;2.4E-6;16.600;-1.728;-0.0481;1.8E-5;16.600;-6.478;-0.1804;2.6E-6;16.600;-3.479;-0.0969;4.0E-6
